name,id,team,position_id,points_round_1,points_round_2,price_round_1,price_round_2,Man of the match,num_matches,Tackles,Dominant tackles,Line-breaks,Metres carried,Kick 50-22,Lineout steal,Breakdown steal,Try,Assists,Conversion,Penalty,Drop goal,Yellow cards,Red cards ,position,played_round_1,points_to_price_round_1,played_round_2,points_to_price_round_2,latest_price,total_points_to_latest_price_ratio,points_all_rounds,total_points_all_rounds,points_per_round_all_rounds
Joe Marchant,309,England,7,17.6,0.0,12.4,12.1,0.0,1.0,6.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,1.4193548387096775,False,0.0,12.1,1.4545454545454548,17.6,17.6,17.6
Uini Atonio,242,France,12,17.5,18.2,12.1,12.1,0.0,2.0,17.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,front-row,True,1.4462809917355373,True,1.5041322314049586,12.1,1.475206611570248,35.7,35.7,17.85
Stuart McCloskey,257,Ireland,7,26.2,30.4,11.4,12.0,0.0,2.0,10.0,0.0,0.0,135.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,2.2982456140350878,True,2.533333333333333,12.0,2.358333333333333,56.599999999999994,56.599999999999994,28.299999999999997
Jake Polledri,44,Italy,10,0.0,13.2,11.7,12.0,0.0,1.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,False,0.0,True,1.0999999999999999,12.0,1.0999999999999999,13.2,13.2,13.2
Michele Lamaro,395,Italy,10,19.0,1.0,12.3,11.9,0.0,2.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,1.5447154471544715,True,0.08403361344537814,11.9,0.8403361344537815,20.0,20.0,10.0
Rhys Carre,161,Wales,12,10.0,6.6,12.1,11.9,0.0,2.0,5.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,0.8264462809917356,True,0.5546218487394957,11.9,0.6974789915966387,16.6,16.6,8.3
Sione Tuipulotu,346,Scotland,7,44.6,22.4,12.1,11.8,0.0,2.0,22.0,1.0,0.0,79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,centres,True,3.6859504132231407,True,1.8983050847457625,11.8,2.8389830508474576,67.0,67.0,33.5
Ronan Kelleher,183,Ireland,13,0.0,36.1,10.8,11.8,0.0,1.0,9.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,False,0.0,True,3.059322033898305,11.8,3.059322033898305,36.1,36.1,36.1
Adam Beard,24,Wales,11,28.4,11.4,12.8,11.8,0.0,2.0,20.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,2.2187499999999996,True,0.9661016949152542,11.8,1.6864406779661014,39.8,39.8,19.9
Henry Arundell,964,England,6,,21.0,11.0,11.7,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,,True,1.794871794871795,11.7,1.794871794871795,21.0,21.0,21.0
